imagen_path,departamento,fecha_procesamiento,AP,APB SÚMATE,CODIGO MESA,ELECTORES HABILITADOS,FP,LIBRE,LYP ADN,MAS-IPSP,MESA,MORENA,PAPELETAS EN ÁNFORA,PAPELETAS NO UTILIZADAS,PDC,UNIDAD,VOTOS BLANCOS,VOTOS NULOS,VOTOS VÁLIDOS
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°102 Dr. Dardo Rocha/mesa_7_103694.jpg,Escuela Primaria N°102 Dr. Dardo Rocha,,AP APB SUMATE,APB SÚMATE MOS-IPP,7,3,FP 0.16,LIBRE 009,LYP ADN OEP,MAS-IPSP 00 2,7,MORENA 7,722,7,PDC 016,UNIDAD 007,3,43,68
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°102 Dr. Dardo Rocha/mesa_9_103714.jpg,Escuela Primaria N°102 Dr. Dardo Rocha,,AP 004,APB SÚMATE 002,9,3,FP 002,LIBRE 007,LYP ADN APB SUMATE,MAS-IPSP 000,9,MORENA 09 00,63,3,PDC 004,UNIDAD 003,3,16,16
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°102 Dr. Dardo Rocha/mesa_5_103674.jpg,Escuela Primaria N°102 Dr. Dardo Rocha,,AP 22,APB SÚMATE MOSA: 5,,3,FP 000,LIBRE 3,LYP ADN 000,MAS-IPSP 3,5,MORENA 209,209,209,PDC 14,UNIDAD 4,5,50,83
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°102 Dr. Dardo Rocha/mesa_8_103704.jpg,Escuela Primaria N°102 Dr. Dardo Rocha,,AP 0,APB SÚMATE 0.25,900,3,FP 0,LIBRE 0,LYP ADN 029,MAS-IPSP 0.95,8,MORENA 0.45,45,25,PDC 0.83,UNIDAD MESA 8,91,91,21
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°102 Dr. Dardo Rocha/mesa_2_103734.jpg,Escuela Primaria N°102 Dr. Dardo Rocha,,AP 017,APB SÚMATE 002,,3,FP 006,LIBRE 005,LYP ADN APB SOMATE,MAS-IPSP 003,2,MORENA 0830,,830,PDC 017,UNIDAD 008,6,13,61
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°102 Dr. Dardo Rocha/mesa_6_103684.jpg,Escuela Primaria N°102 Dr. Dardo Rocha,,AP 008,APB SÚMATE 09.05,6,3,FP 005,LIBRE 09.05,LYP ADN 09.05,MAS-IPSP 005,6,MORENA 001,45,50,PDC 014,UNIDAD 004,8,54,50
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°102 Dr. Dardo Rocha/mesa_1_103724.jpg,Escuela Primaria N°102 Dr. Dardo Rocha,,AP 0.9,APB SÚMATE 0.9,103724,3,FP 0.9,LIBRE 005,LYP ADN AP,MAS-IPSP 0 0,1,MORENA 0.9,703,217,PDC 014,UNIDAD 009,5,35,63
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°102 Dr. Dardo Rocha/mesa_3_103744.jpg,Escuela Primaria N°102 Dr. Dardo Rocha,,AP 015,APB SÚMATE 005,103744,3,FP 003,LIBRE 007,LYP ADN AP,MAS-IPSP 0 0 1,,MORENA AP,0,206,PDC 016,UNIDAD 004,7,53,54
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria N°102 Dr. Dardo Rocha/mesa_4_103754.jpg,Escuela Primaria N°102 Dr. Dardo Rocha,,AP 04,APB SÚMATE 004,4,3,FP 003,LIBRE 001,LYP ADN APB SOMATE,MAS-IPSP 003,4,MORENA 04,402,402,PDC 0.10,UNIDAD 005,15,46,41
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_4_102744.jpg,Anexo I De Escuela Secundaria Nº11,,AP 0 2,APB SÚMATE 0940,940,3,FP 0.2,LIBRE 0 1,LYP ADN APB SUMATE,MAS-IPSP 0 0 2,4,MORENA 227,93,227,PDC 013,UNIDAD 0 1,2,29,62
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_3_102734.jpg,Anexo I De Escuela Secundaria Nº11,,AP 0 1 1,APB SÚMATE MOSA: 3,,3,FP 0 0 4,LIBRE 0 1 1,LYP ADN AP,MAS-IPSP 0 0,3,MORENA 107,,7,PDC 0 2,UNIDAD 005,3,39,6
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_2_102724.jpg,Anexo I De Escuela Secundaria Nº11,,AP 0.18,APB SÚMATE MOSA: 2,,3,FP 0.95,LIBRE 0.18,LYP ADN AP,MAS-IPSP 0 0,9,MORENA 208,108,208,PDC 016,UNIDAD 007,4,40,64
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_7_102774.jpg,Anexo I De Escuela Secundaria Nº11,,AP 017,APB SÚMATE 008,,3,FP 002,LIBRE 007,LYP ADN 001,MAS-IPSP 008,7,MORENA 09.34,98,98,PDC 016,UNIDAD 001,4,39,55
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_6_102764.jpg,Anexo I De Escuela Secundaria Nº11,,AP 800,APB SÚMATE WWW.GOV,800,,FP 80,LIBRE VADO,LYP ADN TV. 94201,MAS-IPSP WWW.GOV,800,MORENA 500,,333,PDC NOV 4,UNIDAD 800,,,4
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_8_102784.jpg,Anexo I De Escuela Secundaria Nº11,,AP 013,APB SÚMATE 005,102784,3,FP 003,LIBRE 009,LYP ADN APB SOMATE,MAS-IPSP 002,8,MORENA 0.13,92,92,PDC 0 13,UNIDAD 007,0,39,53
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_9_102794.jpg,Anexo I De Escuela Secundaria Nº11,,AP OEP,APB SÚMATE 081,9,3,FP 001,LIBRE 011,LYP ADN 081,MAS-IPSP 003,9,MORENA 0 1 4,1119,214,PDC 014,UNIDAD 006,1,54,64
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_5_102754.jpg,Anexo I De Escuela Secundaria Nº11,,AP 0.23,APB SÚMATE 0940,102754,3,FP 09 40,LIBRE 005,LYP ADN AP,MAS-IPSP 003,5,MORENA AP,90,230,PDC 008,UNIDAD 005,0,41,49
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo I De Escuela Secundaria Nº11/mesa_1_102714.jpg,Anexo I De Escuela Secundaria Nº11,,AP 500,APB SÚMATE NOV DAR,,,FP WWW.GOV,LIBRE EURO,LYP ADN TVLZGOL,MAS-IPSP WWW.GOV,,MORENA 850,890,890,PDC TVLZCOL,UNIDAD DEPARTMENT,,80,
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 4 De 11 Benjamín Zorrila/mesa_4_100904.jpg,Escuela N° 4 De 11 Benjamín Zorrila,,AP 0 8,APB SÚMATE 0.8,4,3,FP 004,LIBRE 08.00,LYP ADN APS COMATE,MAS-IPSP 081,4,MORENA 10090-4,81,17,PDC 032,UNIDAD 00,24,94,81
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 4 De 11 Benjamín Zorrila/mesa_9_100954.jpg,Escuela N° 4 De 11 Benjamín Zorrila,,AP 005,APB SÚMATE 004,9,3,FP 003,LIBRE 0 1 3,LYP ADN AP,MAS-IPSP 002,9,MORENA 09.19,59,104,PDC 010,UNIDAD 007,0,14,45
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 4 De 11 Benjamín Zorrila/mesa_5_100914.jpg,Escuela N° 4 De 11 Benjamín Zorrila,,AP 0 22,APB SÚMATE 0.22,5,3,FP 0.34,LIBRE 003,LYP ADN 003,MAS-IPSP 001,5,MORENA 493,493,493,PDC 034,UNIDAD 005,3,53,72
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 4 De 11 Benjamín Zorrila/mesa_6_100924.jpg,Escuela N° 4 De 11 Benjamín Zorrila,,AP 0 1 7,APB SÚMATE MOSA 6,6,3,FP 001,LIBRE 0 1,LYP ADN AP,MAS-IPSP 0.2,6,MORENA AP,36,209,PDC 0.26,UNIDAD 0 6,0,36,75
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 4 De 11 Benjamín Zorrila/mesa_3_100894.jpg,Escuela N° 4 De 11 Benjamín Zorrila,,AP 016,APB SÚMATE 0 8,800,3,FP 004,LIBRE 08.00,LYP ADN 080,MAS-IPSP 004,3,MORENA 0.8,194,194,PDC 033,UNIDAD 007,2,47,77
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 4 De 11 Benjamín Zorrila/mesa_1_100874.jpg,Escuela N° 4 De 11 Benjamín Zorrila,,AP 0.22,APB SÚMATE 004,100874,3,FP 000,LIBRE 0.12,LYP ADN 003,MAS-IPSP 005,1,MORENA 0.82,132,188,PDC 024,UNIDAD 0.9,4,46,82
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 4 De 11 Benjamín Zorrila/mesa_8_100944.jpg,Escuela N° 4 De 11 Benjamín Zorrila,,AP 014,APB SÚMATE 0938,100944,3,FP 003,LIBRE 0.9,LYP ADN AP,MAS-IPSP 0.9,8,MORENA 0938,195,195,PDC 096,UNIDAD 0 06,1,49,75
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 4 De 11 Benjamín Zorrila/mesa_2_100884.jpg,Escuela N° 4 De 11 Benjamín Zorrila,,AP 024,APB SÚMATE 024,9,88,FP 002,LIBRE 0.8,LYP ADN 00,MAS-IPSP 001,9,MORENA 024,88,8,PDC 038,UNIDAD 006,2,47,88
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela N° 4 De 11 Benjamín Zorrila/mesa_7_100934.jpg,Escuela N° 4 De 11 Benjamín Zorrila,,AP 020,APB SÚMATE EMAS: 7,,1,FP 002,LIBRE 008,LYP ADN AP,MAS-IPSP 001,7,MORENA 008,45,85,PDC 040,UNIDAD 005,1,46,85
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 97 Juana Manso De Noronha/mesa_9_102184.jpg,Escuela Primaria Nº 97 Juana Manso De Noronha,,AP 0.2,APB SÚMATE 007,9,3,FP 0.28,LIBRE A3,LYP ADN 027,MAS-IPSP 007,9,MORENA 0.27,27,25,PDC 027,UNIDAD 003,3,66,59
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 97 Juana Manso De Noronha/mesa_5_102144.jpg,Escuela Primaria Nº 97 Juana Manso De Noronha,,AP 0.23,APB SÚMATE 003,10244,3,FP 001,LIBRE 005,LYP ADN 001,MAS-IPSP 001,5,MORENA 003,136,784,PDC 078,UNIDAD 007,1,80,55
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 97 Juana Manso De Noronha/mesa_10_102194.jpg,Escuela Primaria Nº 97 Juana Manso De Noronha,,AP 0.65,APB SÚMATE 005,10,3,FP 002,LIBRE 08 43,LYP ADN 0843,MAS-IPSP 002,10,MORENA 08 43,45,65,PDC 010,UNIDAD 002,35,35,30
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 97 Juana Manso De Noronha/mesa_2_102114.jpg,Escuela Primaria Nº 97 Juana Manso De Noronha,,AP 030,APB SÚMATE 005,102114,3,FP 004,LIBRE 008,LYP ADN 004,MAS-IPSP 000,930,MORENA 030,709,217,PDC 018,UNIDAD 007,6,33,70
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 97 Juana Manso De Noronha/mesa_8_102174.jpg,Escuela Primaria Nº 97 Juana Manso De Noronha,,AP 0 15,APB SÚMATE 006,8,3,FP 09 05,LIBRE 003,LYP ADN APS SOMETE,MAS-IPSP 002,8,MORENA 015,15,25,PDC 029,UNIDAD 002,2,77,57
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 97 Juana Manso De Noronha/mesa_4_102134.jpg,Escuela Primaria Nº 97 Juana Manso De Noronha,,AP 028,APB SÚMATE 0.28,806,3,FP 003,LIBRE 0.28,LYP ADN APB SUMATE,MAS-IPSP 0 1,4,MORENA 4,134,486,PDC 026,UNIDAD 0.06,5,58,71
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 97 Juana Manso De Noronha/mesa_3_102124.jpg,Escuela Primaria Nº 97 Juana Manso De Noronha,,AP 020,APB SÚMATE 020,102124,3,FP 003,LIBRE 020,LYP ADN 08.23,MAS-IPSP 00,3,MORENA 795,795,795,PDC 024,UNIDAD 005,3,55,67
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 97 Juana Manso De Noronha/mesa_7_102164.jpg,Escuela Primaria Nº 97 Juana Manso De Noronha,,AP OEP,APB SÚMATE 09.10,7,,FP 0.18,LIBRE 0EP,LYP ADN OEP,MAS-IPSP 09.10,7,MORENA 737,18,68,PDC 018,UNIDAD MESA 7,61,18,61
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 97 Juana Manso De Noronha/mesa_1_102104.jpg,Escuela Primaria Nº 97 Juana Manso De Noronha,,AP 024,APB SÚMATE 0.8,102104,3,FP 0.8,LIBRE 0.24,LYP ADN OEP,MAS-IPSP 0 0 1,826,MORENA 0.8,191,379,PDC 030,UNIDAD 0.8,9,52,85
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Primaria Nº 97 Juana Manso De Noronha/mesa_6_102154.jpg,Escuela Primaria Nº 97 Juana Manso De Noronha,,AP 025,APB SÚMATE 0.25,6,3,FP 004,LIBRE 025,LYP ADN 001,MAS-IPSP 001,6,MORENA 0 5,122,198,PDC 024,UNIDAD 004,3,51,68
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_2_102884.jpg,Esc. Secundaria Basica Nº4,,AP 0.19,APB SÚMATE 0930,930,,FP 00,LIBRE 002,LYP ADN 0930,MAS-IPSP 003,2,MORENA 0930,38,930,PDC 020,UNIDAD 002,,53,53
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_7_102934.jpg,Esc. Secundaria Basica Nº4,,AP 800,APB SÚMATE WWW.GOV,820,,FP WWW.GOV,LIBRE WWW.GOV,LYP ADN TVEN,MAS-IPSP WWW.GOV,827,MORENA 500,0,0,PDC 00,UNIDAD DEPARTMENT OF PREVENTIVE,,0,
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_8_102944.jpg,Esc. Secundaria Basica Nº4,,AP 024,APB SÚMATE 09.47,8,3,FP 0.24,LIBRE 0.24,LYP ADN 0947,MAS-IPSP 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,MORENA 024,24,24,PDC 0.9,UNIDAD 005,7,53,59
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_1_102874.jpg,Esc. Secundaria Basica Nº4,,AP 024,APB SÚMATE 007,102874,3,FP 002,LIBRE 0.8,LYP ADN AP,MAS-IPSP 000,1,MORENA 0830,58,58,PDC 020,UNIDAD 003,1,58,69
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_11_102974.jpg,Esc. Secundaria Basica Nº4,,AP 0 1 5,APB SÚMATE 0904,11,7,FP 000,LIBRE 003,LYP ADN 0904,MAS-IPSP 001,11,MORENA 0904,83,88,PDC 040,UNIDAD 000,4,49,35
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_3_102894.jpg,Esc. Secundaria Basica Nº4,,AP 018,APB SÚMATE 09.71,3,3,FP 602,LIBRE 0.18,LYP ADN 09.75,MAS-IPSP 0 0 4,3,MORENA 018,7,7,PDC 018,UNIDAD 003,1,52,59
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_5_102914.jpg,Esc. Secundaria Basica Nº4,,AP 0 2,APB SÚMATE 08.23,5,7,FP 004,LIBRE 0 2,LYP ADN 001,MAS-IPSP 003,5,MORENA 0 2,13456789,823,PDC 014,UNIDAD 004,3,65,66
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_4_102904.jpg,Esc. Secundaria Basica Nº4,,AP 026,APB SÚMATE 026,4,3,FP A3,LIBRE A3,LYP ADN 005,MAS-IPSP 004,4,MORENA 436,7,60,PDC 0.15,UNIDAD 005,5,60,60
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_9_102954.jpg,Esc. Secundaria Basica Nº4,,AP APB SUMATE,APB SÚMATE MOSA: 9,102954,3,FP 006,LIBRE AP,LYP ADN APB SUMATE,MAS-IPSP 00 6,9,MORENA AP,50,189,PDC 949,UNIDAD 005,5,56,1
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_6_102924.jpg,Esc. Secundaria Basica Nº4,,AP 0 23,APB SÚMATE 0945,,3,FP 003,LIBRE 0.23,LYP ADN 001,MAS-IPSP 003,6,MORENA 0945,95,209,PDC 0.42,UNIDAD 003,5,59,47
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_10_102964.jpg,Esc. Secundaria Basica Nº4,,AP 0.27,APB SÚMATE 08.46,846,1,FP 08.46,LIBRE 0EP,LYP ADN 08.46,MAS-IPSP 001,10,MORENA 191,28,848,PDC 020,UNIDAD 0.20,26,64,59
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo Escuela Secundaria Nº 23/mesa_3_102664.jpg,Anexo Escuela Secundaria Nº 23,,AP 012,APB SÚMATE 005,102664,3,FP 00 7,LIBRE 004,LYP ADN 001,MAS-IPSP 002,3,MORENA 224,96,224,PDC 011,UNIDAD 001,4,48,44
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo Escuela Secundaria Nº 23/mesa_6_102694.jpg,Anexo Escuela Secundaria Nº 23,,AP 006,APB SÚMATE 006,102694,3,FP 001,LIBRE 007,LYP ADN 001,MAS-IPSP 0.03.,6,MORENA 0.16,1,279,PDC 014,UNIDAD 005,2,14,55
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo Escuela Secundaria Nº 23/mesa_2_102654.jpg,Anexo Escuela Secundaria Nº 23,,AP 0.13,APB SÚMATE 006,,3,FP 002,LIBRE 005,LYP ADN APB SUMATE,MAS-IPSP 000,2,MORENA 216,106,216,PDC 019,UNIDAD 002,3,53,53
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo Escuela Secundaria Nº 23/mesa_4_102674.jpg,Anexo Escuela Secundaria Nº 23,,AP 0 26,APB SÚMATE 0.26,4,3,FP 001,LIBRE 006,LYP ADN 001,MAS-IPSP 002,4,MORENA 0 26,719,201,PDC 019,UNIDAD 005,3,52,64
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo Escuela Secundaria Nº 23/mesa_7_102704.jpg,Anexo Escuela Secundaria Nº 23,,AP 0 75,APB SÚMATE 004,953,3,FP 007,LIBRE 004,LYP ADN 00,MAS-IPSP 007,7,MORENA 7,58,707,PDC 007,UNIDAD 007,7,27,36
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo Escuela Secundaria Nº 23/mesa_5_102684.jpg,Anexo Escuela Secundaria Nº 23,,AP 800,APB SÚMATE NOV DAR,800,,FP 807,LIBRE 990,LYP ADN TV8970,MAS-IPSP WWW.GOV,807,MORENA 800,7,20,PDC WWW.GOV,UNIDAD VADO,,,
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Anexo Escuela Secundaria Nº 23/mesa_1_102644.jpg,Anexo Escuela Secundaria Nº 23,,AP 020,APB SÚMATE 0 1,102644,3,FP 002,LIBRE 005,LYP ADN APB SUMATE,MAS-IPSP 000,8,MORENA 0.21,8,206,PDC 019,UNIDAD 002,2,51,67
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield/mesa_3_100834.jpg,Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield,,AP 020,APB SÚMATE MOSA: 3,3,3,FP 005,LIBRE 0 2 4 8,LYP ADN APB SOMATE,MAS-IPSP 0 0,3,MORENA 0 2 4 8,28,248,PDC 026,UNIDAD 003,3,28,71
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield/mesa_6_100864.jpg,Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield,,AP A3,APB SÚMATE 7,6,3,FP A3,LIBRE A3,LYP ADN OEP,MAS-IPSP A3,6,MORENA A3,93,93,PDC 0.9,UNIDAD 004,93,93,30
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield/mesa_1_100814.jpg,Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield,,AP 00,APB SÚMATE 002,1,,FP 000,LIBRE 0.9,LYP ADN APB SOMATE,MAS-IPSP 005,1,MORENA 00,88,232,PDC 0.23,UNIDAD 003,2,40,46
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield/mesa_2_100824.jpg,Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield,,AP 018,APB SÚMATE 004,2,3,FP 0,LIBRE 0.98,LYP ADN 004,MAS-IPSP 004,2,MORENA 018,98,98,PDC 001,UNIDAD 0.98,1,32,98
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield/mesa_4_100844.jpg,Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield,,AP APB SUMATE,APB SÚMATE 09.38,4,3,FP A3,LIBRE 0 1,LYP ADN APB SUMATE,MAS-IPSP 003,4,MORENA 09.38,45,938,PDC 026,UNIDAD 004,2,32,67
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield/mesa_5_100854.jpg,Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield,,AP 0.19,APB SÚMATE MOSA 5,5,3,FP 004,LIBRE 005,LYP ADN 005,MAS-IPSP 00 1,5,MORENA 0.9,1,94,PDC 004,UNIDAD 00,,94,63
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Técnica N° 17  DE  13  Brigadier General Cornelio Saavedra/mesa_4_100994.jpg,Escuela Técnica N° 17  DE  13  Brigadier General Cornelio Saavedra,,AP 500,APB SÚMATE NOV 4,800,,FP WWW.GOV,LIBRE H. VESH.,LYP ADN TVSW,MAS-IPSP WWW.GOV,0,MORENA 500,0,0,PDC WWW.GOV,UNIDAD 00,,0,4
